codelist_code,term_code,term_value,collected_value,term_preferred_term,term_synonyms
C74456,C77640,HEPATIC LYMPH NODE,HEPATIC LYMPH NODE,Hepatic Lymph Node,
C74456,C32736,HEPATIC VEIN,HEPATIC VEIN,Hepatic Vein,
C74456,C43612,HEPATOBILIARY SYSTEM,HEPATOBILIARY SYSTEM,Hepatobiliary System,
C74456,C98187,HILAR LYMPH NODE,HILAR LYMPH NODE,Pulmonary Hilar Lymph Node,
C74456,C25724,HILAR,HILAR,Hilar,Hilar
C74456,C77625,HINDLIMB,HINDLIMB,Hind Limb,
C74456,C186121,HINDPAW PHALANX,HINDPAW PHALANX,Hindpaw Phalanx,Hindpaw Phalange
C74456,C204656,HIP ABDUCTOR MUSCLES,HIP ABDUCTOR MUSCLES,Hip Abductor Muscles,
C74456,C204657,HIP ADDUCTOR MUSCLES,HIP ADDUCTOR MUSCLES,Hip Adductor Muscles,
C74456,C53039,HIP ADDUCTORS,HIP ADDUCTORS,Adductor Group of the Leg,
C74456,C204660,HIP EXTENSOR MUSCLES,HIP EXTENSOR MUSCLES,Hip Extensor Muscles,
C74456,C186122,HIP FLEXOR MUSCLES,HIP FLEXOR MUSCLES,Hip Flexor Muscles,
C74456,C32742,HIP JOINT,HIP JOINT,Hip Joint,Coxofemoral Joint; Hip Joint
C74456,C64193,HIP,HIP,Hip,Hip
C74456,C12444,HIPPOCAMPUS,HIPPOCAMPUS,Hippocampus,
C74456,C114187,HUMERAL EPICONDYLE,HUMERAL EPICONDYLE,Humeral Epicondyle,
C74456,C120671,HUMERUS SHAFT,HUMERUS SHAFT,Humeral Shaft,
C74456,C12731,HUMERUS,HUMERUS,Humerus,"Bone, Humeral"
C74456,C165999,HYMENAL RING,HYMENAL RING,Hymenal Ring,
C74456,C32752,HYOID BONE,HYOID BONE,Hyoid Bone,Hyoid Bone
C74456,C12732,HYPOGLOSSAL NERVE,HYPOGLOSSAL NERVE,Hypoglossal Nerve,
C74456,C12246,HYPOPHARYNX,HYPOPHARYNX,Hypopharynx,Hypopharynx
C74456,C12458,HYPOTHALAMUS,HYPOTHALAMUS,Hypothalamus,
C74456,C178001,ILEOCECAL JUNCTION,ILEOCECAL JUNCTION,Ileocecal Junction,Ileocecal Region
C74456,C225635,ILEOCOLIC LYMPH NODE,ILEOCOLIC LYMPH NODE,Ileocolic Lymph Node,
C74456,C176318,ILEUM LYMPH NODE,ILEUM LYMPH NODE,Ileum Lymph Node,
C74456,C176316,ILEUM WALL,ILEUM WALL,Ileum Wall,
C74456,C12387,ILEUM,ILEUM,Ileum,
C74456,C33757,"ILEUM, TERMINAL","ILEUM, TERMINAL",Terminal Ileum,Terminal Ileum
C74456,C103818,ILIAC CREST,ILIAC CREST,Iliac Crest,
C74456,C103454,ILIAC FOSSA,ILIAC FOSSA,Iliac Fossa,
C74456,C32761,ILIAC LYMPH NODE,ILIAC LYMPH NODE,Iliac Lymph Node,
C74456,C12734,ILIAC VEIN,ILIAC VEIN,Iliac Vein,
C74456,C32764,ILIOPSOAS MUSCLE,ILIOPSOAS MUSCLE,Iliopsoas Muscle,
C74456,C139207,ILIOTIBIAL BAND,ILIOTIBIAL BAND,Iliotibial Band,
C74456,C32765,ILIUM,ILIUM,Ilium,Ilium
C74456,C32769,INCISOR,INCISOR,Incisor,
C74456,C32770,INCUS,INCUS,Incus,Incus
C74456,C113695,INFERIOR MEDIASTINAL LYMPH NODE,INFERIOR MEDIASTINAL LYMPH NODE,Inferior Mediastinal Lymph Node,
C74456,C132392,INFERIOR PUBIC RAMUS,INFERIOR PUBIC RAMUS,Inferior Pubic Ramus,
C74456,C32791,INFERIOR TEMPORAL GYRUS,INFERIOR TEMPORAL GYRUS,Inferior Temporal Gyrus,
C74456,C12815,INFERIOR VENA CAVA,INFERIOR VENA CAVA,Inferior Vena Cava,Caudal Vena Cava; Posterior Vena Cava
C74456,C63705,INFRACLAVICULAR LYMPH NODE,INFRACLAVICULAR LYMPH NODE,Infraclavicular Lymph Node,Infraclavicular Lymph Node; Subclavicular Lymph Node
C74456,C116179,INFRARENAL AORTA,INFRARENAL AORTA,Infrarenal Aortic Segment,
C74456,C32797,INFRASPINATUS MUSCLE,INFRASPINATUS MUSCLE,Infraspinatus,
C74456,C209625,INFRASPINATUS TENDON,INFRASPINATUS TENDON,Infraspinatus Tendon,
C74456,C12509,INFRATENTORIAL BRAIN,INFRATENTORIAL BRAIN,Infratentorial Brain,
C74456,C32801,INGUINAL LYMPH NODE,INGUINAL LYMPH NODE,Inguinal Lymph Node,
C74456,C12726,INGUINAL REGION,INGUINAL REGION,Inguinal Region,Groin
C74456,C32278,INSULAR CORTEX,INSULAR CORTEX,Central Lobe,Central Lobe
C74456,C32818,INTERATRIAL SEPTUM,INTERATRIAL SEPTUM,Interatrial Septum,"Atrial Septum; Heart, Atrial Septum"
C74456,C32845,INTERNAL ILIAC ARTERY,INTERNAL ILIAC ARTERY,Internal Iliac Artery,
C74456,C88142,INTERNAL ILIAC LYMPH NODE,INTERNAL ILIAC LYMPH NODE,Internal Iliac Lymph Node,
C74456,C52941,INTERNAL MAMMARY ARTERY,INTERNAL MAMMARY ARTERY,Internal Mammary Artery,
C74456,C32853,INTERNAL MAMMARY LYMPH NODE,INTERNAL MAMMARY LYMPH NODE,Internal Mammary Lymph Node,
C74456,C186123,INTERPARIETAL BONE,INTERPARIETAL BONE,Interparietal Bone,
C74456,C114200,INTERPHALANGEAL JOINT 1 OF THE FOOT,INTERPHALANGEAL JOINT 1 OF THE FOOT,Interphalangeal Joint 1 of the Foot,IP1 of the Foot
C74456,C102301,INTERPHALANGEAL JOINT 1,INTERPHALANGEAL JOINT 1,Interphalangeal Joint 1,IP1
C74456,C114201,INTERPHALANGEAL JOINT 2 OF THE FOOT,INTERPHALANGEAL JOINT 2 OF THE FOOT,Interphalangeal Joint 2 of the Foot,IP2 of the Foot
C74456,C114190,INTERPHALANGEAL JOINT 2 OF THE HAND,INTERPHALANGEAL JOINT 2 OF THE HAND,Interphalangeal Joint 2 of the Hand,IP2 of the Hand
C74456,C102302,INTERPHALANGEAL JOINT 2,INTERPHALANGEAL JOINT 2,Interphalangeal Joint 2,IP2
C74456,C114202,INTERPHALANGEAL JOINT 3 OF THE FOOT,INTERPHALANGEAL JOINT 3 OF THE FOOT,Interphalangeal Joint 3 of the Foot,IP3 of the Foot
C74456,C114191,INTERPHALANGEAL JOINT 3 OF THE HAND,INTERPHALANGEAL JOINT 3 OF THE HAND,Interphalangeal Joint 3 of the Hand,IP3 of the Hand
C74456,C102303,INTERPHALANGEAL JOINT 3,INTERPHALANGEAL JOINT 3,Interphalangeal Joint 3,IP3
C74456,C114203,INTERPHALANGEAL JOINT 4 OF THE FOOT,INTERPHALANGEAL JOINT 4 OF THE FOOT,Interphalangeal Joint 4 of the Foot,IP4 of the Foot
C74456,C114192,INTERPHALANGEAL JOINT 4 OF THE HAND,INTERPHALANGEAL JOINT 4 OF THE HAND,Interphalangeal Joint 4 of the Hand,IP4 of the Hand
C74456,C102304,INTERPHALANGEAL JOINT 4,INTERPHALANGEAL JOINT 4,Interphalangeal Joint 4,IP4
C74456,C114204,INTERPHALANGEAL JOINT 5 OF THE FOOT,INTERPHALANGEAL JOINT 5 OF THE FOOT,Interphalangeal Joint 5 of the Foot,IP5 of the Foot
C74456,C114193,INTERPHALANGEAL JOINT 5 OF THE HAND,INTERPHALANGEAL JOINT 5 OF THE HAND,Interphalangeal Joint 5 of the Hand,IP5 of the Hand
C74456,C102305,INTERPHALANGEAL JOINT 5,INTERPHALANGEAL JOINT 5,Interphalangeal Joint 5,IP5
C74456,C32868,INTERPHALANGEAL JOINT OF THE HAND,INTERPHALANGEAL JOINT OF THE HAND,Interphalangeal Joint of the Hand,Interphalangeal Joint of the Hand
C74456,C32867,INTERPHALANGEAL OF THE FOOT,INTERPHALANGEAL OF THE FOOT,Interphalangeal Joint of the Foot,IP of the Foot
C74456,C102306,INTERPHALANGEAL THUMB JOINT,INTERPHALANGEAL THUMB JOINT,Interphalangeal Thumb Joint,Interphalangeal Joint 1 of the Hand; IP THUMB; IP1 of the Hand
C74456,C120672,INTERTROCHANTERIC REGION,INTERTROCHANTERIC REGION,Intertrochanteric Region,
C74456,C32874,INTERVENTRICULAR SEPTUM,INTERVENTRICULAR SEPTUM,Interventricular Septum,"Heart, Ventricular Septum; Interventricular Septal Wall; Ventricular Septum"
C74456,C49478,INTESTINAL WALL,INTESTINAL WALL,Intestinal Wall Tissue,
C74456,C12736,INTESTINE,INTESTINE,Intestine,
C74456,C12980,INTRACRANIAL ARTERY,INTRACRANIAL ARTERY,Intracranial Artery,
C74456,C12677,INTRAHEPATIC BILE DUCT,INTRAHEPATIC BILE DUCT,Intrahepatic Bile Duct,
C74456,C96803,INTRAHEPATIC LARGE BILE DUCT,INTRAHEPATIC LARGE BILE DUCT,Intrahepatic Large Bile Duct,Perihilar Bile Duct
C74456,C214699,INTRARETINAL SPACE,INTRARETINAL SPACE,Intraretinal Space,
C74456,C12359,INTRATHORACIC LYMPH NODE,INTRATHORACIC LYMPH NODE,Intrathoracic Lymph Node,
C74456,C12737,IRIS,IRIS,Iris,
C74456,C105446,ISCHIAL TUBEROSITY,ISCHIAL TUBEROSITY,Ischial Tuberosity,
C74456,C103455,ISCHIORECTAL FOSSA,ISCHIORECTAL FOSSA,Ischiorectal Fossa,
C74456,C32884,ISCHIUM,ISCHIUM,Ischium,Ischium
C74456,C48821,JAW,JAW,Jaw Bone,
C74456,C12388,JEJUNUM,JEJUNUM,Jejunum,
C74456,C13044,JOINT,JOINT,Joint,Articulation; Joint
C74456,C12738,JUGULAR VEIN,JUGULAR VEIN,Jugular Vein,Vena Jugularis
C74456,C186124,KIDNEY INTERPOLAR REGION,KIDNEY INTERPOLAR REGION,Kidney Interpolar Region,
C74456,C12415,KIDNEY,KIDNEY,Kidney,
C74456,C12739,"KIDNEY, CORTEX","KIDNEY, CORTEX",Renal Cortex,Renal Cortex
C74456,C32740,"KIDNEY, HILUM","KIDNEY, HILUM",Hilar Area of the Kidney,Hilar Area of the Kidney
C74456,C93180,"KIDNEY, LOWER POLE","KIDNEY, LOWER POLE",Lower Pole of Kidney,Lower Pole of the Kidney
C74456,C12740,"KIDNEY, MEDULLA","KIDNEY, MEDULLA",Renal Medulla,Renal Medulla
C74456,C93179,"KIDNEY, UPPER POLE","KIDNEY, UPPER POLE",Upper Pole of Kidney,Upper Pole of the Kidney
C74456,C204655,KNEE EXTENSOR MUSCLES,KNEE EXTENSOR MUSCLES,Knee Extensor Muscles,
C74456,C186125,KNEE FLEXOR MUSCLES,KNEE FLEXOR MUSCLES,Knee Flexor Muscles,
C74456,C161388,KNEE JOINT TENDONS,KNEE JOINT TENDONS,Knee Joint Tendons,
C74456,C32898,KNEE JOINT,KNEE JOINT,Knee Joint,"Femorotibial Joint; Joint, Stifle; Knee; Tibiofemoral Joint"
C74456,C225636,L1 DERMATOME,L1 DERMATOME,L1 Dermatome,L1 Nerve Root Dermatome
C74456,C32899,L1 VERTEBRA,L1 VERTEBRA,L1 Vertebra,L1 Vertebra
C74456,C225637,L2 DERMATOME,L2 DERMATOME,L2 Dermatome,L2 Nerve Root Dermatome
C74456,C32900,L2 VERTEBRA,L2 VERTEBRA,L2 Vertebra,L2 Vertebra
C74456,C112327,L2-L3 INTERVERTEBRAL SPACE,L2-L3 INTERVERTEBRAL SPACE,L2-L3 Intervertebral Space,
C74456,C225638,L3 DERMATOME,L3 DERMATOME,L3 Dermatome,L3 Nerve Root Dermatome
C74456,C32901,L3 VERTEBRA,L3 VERTEBRA,L3 Vertebra,L3 Vertebra
C74456,C112328,L3-L4 INTERVERTEBRAL SPACE,L3-L4 INTERVERTEBRAL SPACE,L3-L4 Intervertebral Space,
C74456,C225639,L4 DERMATOME,L4 DERMATOME,L4 Dermatome,L4 Nerve Root Dermatome
C74456,C32902,L4 VERTEBRA,L4 VERTEBRA,L4 Vertebra,L4 Vertebra
C74456,C142296,L4-L5 INTERVERTEBRAL SPACE,L4-L5 INTERVERTEBRAL SPACE,L4-L5 Intervertebral Space,
C74456,C225640,L5 DERMATOME,L5 DERMATOME,L5 Dermatome,L5 Nerve Root Dermatome
C74456,C32903,L5 VERTEBRA,L5 VERTEBRA,L5 Vertebra,L5 Vertebra
C74456,C154781,L5-S1 INTERVERTEBRAL SPACE,L5-S1 INTERVERTEBRAL SPACE,L5-S1 Intervertebral Space,
C74456,C120673,L6 VERTEBRA,L6 VERTEBRA,Extra Lumbar Vertebra,
C74456,C32906,LACRIMAL BONE,LACRIMAL BONE,Lacrimal Bone,Lacrimal Bone
C74456,C32907,LACRIMAL CANALICULUS,LACRIMAL CANALICULUS,Lacrimal Canaliculus,Canaliculus of the Eye
C74456,C12346,LACRIMAL GLAND,LACRIMAL GLAND,Lacrimal Gland,
C74456,C102313,LAD SEPTAL PERFORATOR ARTERY,LAD SEPTAL PERFORATOR ARTERY,Left Anterior Descending Septal Perforator Artery,LAD SEPTAL PERFORATOR ARTERY SEGMENTS; LAD SP
C74456,C12379,LARGE INTESTINE,LARGE INTESTINE,Large Intestine,Large Bowel
C74456,C12420,LARYNX,LARYNX,Larynx,
C74456,C102307,LATERAL FIRST DIAGONAL BRANCH ARTERY,LATERAL FIRST DIAGONAL BRANCH ARTERY,Lateral First Diagonal Branch Artery,LAT 1ST DIAG; LATERAL FIRST DIAGONAL BRANCH ARTERY SEGMENT
C74456,C102308,LATERAL FIRST OBTUSE MARGINAL BRANCH ARTERY,LATERAL FIRST OBTUSE MARGINAL BRANCH ARTERY,Lateral First Obtuse Marginal Branch Artery,First Obtuse Marginal Lateral Branch; LAT 1ST OM; LATERAL FIRST OBTUSE MARGINAL BRANCH ARTERY SEGMENT
C74456,C139202,LATERAL HUMERAL EPICONDYLE,LATERAL HUMERAL EPICONDYLE,Lateral Humeral Epicondyle,
C74456,C102309,LATERAL RAMUS INTERMEDIUS ARTERY,LATERAL RAMUS INTERMEDIUS ARTERY,Lateral Ramus Intermedius Artery,LAT RAMUS; LATERAL RAMUS INTERMEDIUS ARTERY SEGMENT
C74456,C102310,LATERAL SECOND DIAGONAL BRANCH ARTERY,LATERAL SECOND DIAGONAL BRANCH ARTERY,Lateral Second Diagonal Branch Artery,LAT 2ND DIAG; LATERAL SECOND DIAGONAL BRANCH ARTERY SEGMENT
C74456,C102311,LATERAL SECOND OBTUSE MARGINAL BRANCH ARTERY,LATERAL SECOND OBTUSE MARGINAL BRANCH ARTERY,Lateral Second Obtuse Marginal Branch Artery,LAT 2ND OM; LATERAL SECOND OBTUSE MARGINAL BRANCH ARTERY SEGMENT; Second Obtuse Marginal Lateral Branch
C74456,C102312,LATERAL THIRD DIAGONAL BRANCH ARTERY,LATERAL THIRD DIAGONAL BRANCH ARTERY,Lateral Third Diagonal Branch Artery,LAT 3RD DIAG; LATERAL THIRD DIAGONAL BRANCH ARTERY SEGMENT
C74456,C102425,LATERAL THIRD OBTUSE MARGINAL BRANCH ARTERY,LATERAL THIRD OBTUSE MARGINAL BRANCH ARTERY,Lateral Third Obtuse Marginal Branch Artery,LAT 3RD OM; LATERAL THIRD OBTUSE MARGINAL BRANCH ARTERY SEGMENT; Third Obtuse Marginal Lateral Branch
C74456,C33150,LATISSIMUS DORSI MUSCLE,LATISSIMUS DORSI MUSCLE,Musculus Latissimus Dorsi,Musculus Latissimus Dorsi
C74456,C116175,LEFT ANTERIOR DESCENDING ARTERY OSTIUM,LEFT ANTERIOR DESCENDING ARTERY OSTIUM,Left Anterior Descending Artery Ostium,
C74456,C221580,LEFT ATRIAL ENDOCARDIUM,LEFT ATRIAL ENDOCARDIUM,Left Atrial Endocardium,
C74456,C116177,LEFT ATRIOVENTRICULAR ARTERY,LEFT ATRIOVENTRICULAR ARTERY,Left Atrioventricular Artery,
C74456,C116176,LEFT CIRCUMFLEX ARTERY OSTIUM,LEFT CIRCUMFLEX ARTERY OSTIUM,Left Circumflex Artery Ostium,
C74456,C12874,LEFT CIRCUMFLEX CORONARY ARTERY,LEFT CIRCUMFLEX CORONARY ARTERY,Circumflex Branch of the Left Coronary Artery,
C74456,C116174,LEFT MAIN CORONARY ARTERY BIFURCATION,LEFT MAIN CORONARY ARTERY BIFURCATION,Left Main Coronary Artery Bifurcation,
C74456,C116173,LEFT MAIN CORONARY ARTERY BODY,LEFT MAIN CORONARY ARTERY BODY,Left Main Coronary Artery Body,
C74456,C116172,LEFT MAIN CORONARY ARTERY OSTIUM,LEFT MAIN CORONARY ARTERY OSTIUM,Left Main Coronary Artery Ostium,
C74456,C116178,LEFT POSTERIOR DESCENDING ARTERY,LEFT POSTERIOR DESCENDING ARTERY,Left Posterior Descending Artery,
C74456,C102314,LEFT POSTEROLATERAL DESCENDING ARTERY,LEFT POSTEROLATERAL DESCENDING ARTERY,Left Posterolateral Descending Artery,LEFT POSTEROLATERAL DESCENDING ARTERY SEGMENT; LPDA
C74456,C127650,LEFT VENTRICULAR APEX SEGMENT,LEFT VENTRICULAR APEX SEGMENT,Left Ventricular Apex Segment,
C74456,C127651,LEFT VENTRICULAR APICAL ANTERIOR SEGMENT,LEFT VENTRICULAR APICAL ANTERIOR SEGMENT,Left Ventricular Apical Anterior Segment,
C74456,C127652,LEFT VENTRICULAR APICAL INFERIOR SEGMENT,LEFT VENTRICULAR APICAL INFERIOR SEGMENT,Left Ventricular Apical Inferior Segment,
C74456,C127653,LEFT VENTRICULAR APICAL LATERAL SEGMENT,LEFT VENTRICULAR APICAL LATERAL SEGMENT,Left Ventricular Apical Lateral Segment,
C74456,C127654,LEFT VENTRICULAR APICAL SEPTAL SEGMENT,LEFT VENTRICULAR APICAL SEPTAL SEGMENT,Left Ventricular Apical Septal Segment,
C74456,C127655,LEFT VENTRICULAR BASAL ANTERIOR SEGMENT,LEFT VENTRICULAR BASAL ANTERIOR SEGMENT,Left Ventricular Basal Anterior Segment,
C74456,C127656,LEFT VENTRICULAR BASAL ANTEROLATERAL SEGMENT,LEFT VENTRICULAR BASAL ANTEROLATERAL SEGMENT,Left Ventricular Basal Anterolateral Segment,
C74456,C127657,LEFT VENTRICULAR BASAL ANTEROSEPTAL SEGMENT,LEFT VENTRICULAR BASAL ANTEROSEPTAL SEGMENT,Left Ventricular Basal Anteroseptal Segment,
C74456,C127658,LEFT VENTRICULAR BASAL INFERIOR SEGMENT,LEFT VENTRICULAR BASAL INFERIOR SEGMENT,Left Ventricular Basal Inferior Segment,
C74456,C127659,LEFT VENTRICULAR BASAL INFEROLATERAL SEGMENT,LEFT VENTRICULAR BASAL INFEROLATERAL SEGMENT,Left Ventricular Basal Inferolateral Segment,
C74456,C127660,LEFT VENTRICULAR BASAL INFEROSEPTAL SEGMENT,LEFT VENTRICULAR BASAL INFEROSEPTAL SEGMENT,Left Ventricular Basal Inferoseptal Segment,
C74456,C221581,LEFT VENTRICULAR ENDOCARDIUM,LEFT VENTRICULAR ENDOCARDIUM,Left Ventricular Endocardium,
C74456,C102315,LEFT VENTRICULAR EPICARDIUM,LEFT VENTRICULAR EPICARDIUM,Left Ventricular Epicardium,
C74456,C127661,LEFT VENTRICULAR MID ANTERIOR SEGMENT,LEFT VENTRICULAR MID ANTERIOR SEGMENT,Left Ventricular Mid Anterior Segment,
C74456,C127662,LEFT VENTRICULAR MID ANTEROLATERAL SEGMENT,LEFT VENTRICULAR MID ANTEROLATERAL SEGMENT,Left Ventricular Mid Anterolateral Segment,
C74456,C127663,LEFT VENTRICULAR MID ANTEROSEPTAL SEGMENT,LEFT VENTRICULAR MID ANTEROSEPTAL SEGMENT,Left Ventricular Mid Anteroseptal Segment,
C74456,C127664,LEFT VENTRICULAR MID INFERIOR SEGMENT,LEFT VENTRICULAR MID INFERIOR SEGMENT,Left Ventricular Mid Inferior Segment,
C74456,C127665,LEFT VENTRICULAR MID INFEROLATERAL SEGMENT,LEFT VENTRICULAR MID INFEROLATERAL SEGMENT,Left Ventricular Mid Inferolateral Segment,
C74456,C127666,LEFT VENTRICULAR MID INFEROSEPTAL SEGMENT,LEFT VENTRICULAR MID INFEROSEPTAL SEGMENT,Left Ventricular Mid Inferoseptal Segment,
C74456,C52749,LEG SKIN,LEG SKIN,Leg Skin,Leg Skin
C74456,C32974,LEG,LEG,Leg,Leg
C74456,C12743,LENS,LENS,Lens,Crystalline Lens; Ocular Lens
C74456,C32979,LEPTOMENINGES,LEPTOMENINGES,Leptomeninges,
C74456,C12261,LESSER CURVATURE OF THE STOMACH,LESSER CURVATURE OF THE STOMACH,Lesser Curvature of the Stomach,
C74456,C32982,LESSER TROCHANTER,LESSER TROCHANTER,Lesser Trochanter,
C74456,C13046,LIGAMENT,LIGAMENT,Ligament,Ligament
C74456,C12429,LIMB,LIMB,Limb,Extremity
C74456,C12742,"LIMB, LOWER","LIMB, LOWER",Lower Extremity,Lower Extremity
C74456,C12671,"LIMB, UPPER","LIMB, UPPER",Upper Extremity,Upper Extremity
C74456,C40373,LINGULA OF THE LUNG,LINGULA OF THE LUNG,Lingula of the Lung,
C74456,C12220,LIP,LIP,Lip,Lip; Vermillion of the Lip
C74456,C12222,"LIP, LOWER","LIP, LOWER",External Lower Lip,External Lower Lip
C74456,C12221,"LIP, UPPER","LIP, UPPER",External Upper Lip,External Upper Lip
C74456,C32996,LIVER FISSURE,LIVER FISSURE,Liver Fissure,Liver Fissure
C74456,C49579,LIVER LOBE,LIVER LOBE,Liver Lobe,
C74456,C12392,LIVER,LIVER,Liver,
C74456,C33000,"LIVER, CAUDATE LOBE","LIVER, CAUDATE LOBE",Caudate Lobe,Couinaud Segment I
C74456,C79733,"LIVER, LEFT LOBE ANTEROLATERAL SEGMENT","LIVER, LEFT LOBE ANTEROLATERAL SEGMENT",Left Anterolateral Segment,Couinaud Segment III
C74456,C79735,"LIVER, LEFT LOBE INFEROMEDIAL SEGMENT","LIVER, LEFT LOBE INFEROMEDIAL SEGMENT",Left Inferomedial Segment,Couinaud Segment IVb
C74456,C198297,"LIVER, LEFT LOBE MEDIAL SEGMENT","LIVER, LEFT LOBE MEDIAL SEGMENT",Left Medial Segment of Liver,Couinaud Segment IV
C74456,C79732,"LIVER, LEFT LOBE POSTEROLATERAL SEGMENT","LIVER, LEFT LOBE POSTEROLATERAL SEGMENT",Left Posterolateral Segment,Couinaud Segment II
C74456,C79734,"LIVER, LEFT LOBE SUPEROMEDIAL SEGMENT","LIVER, LEFT LOBE SUPEROMEDIAL SEGMENT",Left Superomedial Segment,Couinaud segment IVa
C74456,C32965,"LIVER, LEFT LOBE","LIVER, LEFT LOBE",Left Lobe of the Liver,
C74456,C112404,"LIVER, QUADRATE LOBE","LIVER, QUADRATE LOBE",Quadrate Lobe of Liver,
C74456,C79736,"LIVER, RIGHT LOBE ANTEROINFERIOR SEGMENT","LIVER, RIGHT LOBE ANTEROINFERIOR SEGMENT",Right Anteroinferior Segment,Couinaud Segment V
C74456,C79739,"LIVER, RIGHT LOBE ANTEROSUPERIOR SEGMENT","LIVER, RIGHT LOBE ANTEROSUPERIOR SEGMENT",Right Anterosuperior Segment,Couinaud Segment VIII
C74456,C79737,"LIVER, RIGHT LOBE POSTEROINFERIOR SEGMENT","LIVER, RIGHT LOBE POSTEROINFERIOR SEGMENT",Right Posteroinferior Segment,Couinaud Segment VI
C74456,C79738,"LIVER, RIGHT LOBE POSTEROSUPERIOR SEGMENT","LIVER, RIGHT LOBE POSTEROSUPERIOR SEGMENT",Right Posterosuperior Segment,Couinaud Segment VII
C74456,C33481,"LIVER, RIGHT LOBE","LIVER, RIGHT LOBE",Right Lobe of the Liver,
C74456,C97333,LOCUS CERULEUS,LOCUS CERULEUS,Locus Coeruleus,
C74456,C176234,LOWER GASTROINTESTINAL TRACT LYMPH NODE,LOWER GASTROINTESTINAL TRACT LYMPH NODE,Lower Gastrointestinal Tract Lymph Node,
C74456,C132512,LOWER JUGULAR LYMPH NODE,LOWER JUGULAR LYMPH NODE,Lower Jugular Lymph Node Group (Level IV),
C74456,C225641,LOWER LIMB SOFT TISSUE,LOWER LIMB SOFT TISSUE,Lower Limb Soft Tissue,
C74456,C33012,LOWER RESPIRATORY SYSTEM,LOWER RESPIRATORY SYSTEM,Lower Respiratory System,
C74456,C34004,LUMBAR REGION,LUMBAR REGION,Lumbar Region,
C74456,C69314,LUMBAR SPINE,LUMBAR SPINE,Lumbar Spine,
C74456,C12744,LUMBAR VERTEBRA,LUMBAR VERTEBRA,Lumbar Vertebra,Lumbar Vertebra
C74456,C48824,LUMBOSACRAL SPINE,LUMBOSACRAL SPINE,Lumbosacral Region,Lumbosacral Region
C74456,C186126,LUMBRICAL MUSCLES OF THE FOOT,LUMBRICAL MUSCLES OF THE FOOT,Lumbrical Muscles of the Foot,
C74456,C150852,LUMBRICAL MUSCLES OF THE HAND,LUMBRICAL MUSCLES OF THE HAND,Lumbrical Muscle,
C74456,C12786,LUNATE BONE,LUNATE BONE,Lunate Bone,Lunate Bone
C74456,C34021,LUNG LOBE,LUNG LOBE,Lung Lobe,
C74456,C12468,LUNG,LUNG,Lung,
C74456,C49282,"LUNG, HILUM","LUNG, HILUM",Hilar Area of the Lung,Hilar Area of the Lung
C74456,C33020,"LUNG, LEFT LOWER LOBE","LUNG, LEFT LOWER LOBE",Lower Lobe of the Left Lung,Lower Lobe of the Left Lung
C74456,C33021,"LUNG, LEFT UPPER LOBE","LUNG, LEFT UPPER LOBE",Upper Lobe of the Left Lung,Upper Lobe of the Left Lung
C74456,C32967,"LUNG, LEFT","LUNG, LEFT",Left Lung,Left Lung
C74456,C132393,"LUNG, LEFT, INFERIOR LOBE, ANTERIOR BASAL SEGMENT","LUNG, LEFT, INFERIOR LOBE, ANTERIOR BASAL SEGMENT","Left Lung, Inferior Lobe, Anterior Basal Segment",
C74456,C132394,"LUNG, LEFT, INFERIOR LOBE, LATERAL BASAL SEGMENT","LUNG, LEFT, INFERIOR LOBE, LATERAL BASAL SEGMENT","Left Lung, Inferior Lobe, Lateral Basal Segment",
C74456,C132395,"LUNG, LEFT, INFERIOR LOBE, MEDIAL BASAL SEGMENT","LUNG, LEFT, INFERIOR LOBE, MEDIAL BASAL SEGMENT","Left Lung, Inferior Lobe, Medial Basal Segment",
C74456,C132396,"LUNG, LEFT, INFERIOR LOBE, POSTERIOR BASAL SEGMENT","LUNG, LEFT, INFERIOR LOBE, POSTERIOR BASAL SEGMENT","Left Lung, Inferior Lobe, Posterior Basal Segment",
C74456,C132397,"LUNG, LEFT, INFERIOR LOBE, SUPERIOR SEGMENT","LUNG, LEFT, INFERIOR LOBE, SUPERIOR SEGMENT","Left Lung, Inferior Lobe, Superior Segment",
C74456,C132398,"LUNG, LEFT, SUPERIOR LOBE, ANTERIOR SEGMENT","LUNG, LEFT, SUPERIOR LOBE, ANTERIOR SEGMENT","Left Lung, Superior Lobe, Anterior Segment",
C74456,C132399,"LUNG, LEFT, SUPERIOR LOBE, APICOPOSTERIOR SEGMENT","LUNG, LEFT, SUPERIOR LOBE, APICOPOSTERIOR SEGMENT","Left Lung, Superior Lobe, Apicoposterior Segment",
C74456,C132400,"LUNG, LEFT, SUPERIOR LOBE, INFERIOR LINGULAR SEGMENT","LUNG, LEFT, SUPERIOR LOBE, INFERIOR LINGULAR SEGMENT","Left Lung, Superior Lobe, Inferior Lingular Segment",
C74456,C132401,"LUNG, LEFT, SUPERIOR LOBE, SUPERIOR LINGULAR SEGMENT","LUNG, LEFT, SUPERIOR LOBE, SUPERIOR LINGULAR SEGMENT","Left Lung, Superior Lobe, Superior Lingular Segment",
C74456,C33022,"LUNG, RIGHT LOWER LOBE","LUNG, RIGHT LOWER LOBE",Lower Lobe of the Right Lung,Lower Lobe of the Right Lung
